edad_ingreso,promedio_academico,materias_reprobadas,distancia_hogar_ies_km,puntaje_icfes_percentil,sexo,estado_civil,zona_residencia,departamento,nivel_educativo_padre,nivel_educativo_madre,sector_ies,nivel_formacion,metodologia,area_conocimiento,semestre_cursado,estrato_socioeconomico,anio_registro,trabaja_mientras_estudia,beneficiario_icetex,beneficiario_beca
17,3.98,2,2.45,67,Hombre,Soltero,Urbana,Quindío,Primaria,Universitario,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",6,1,2022,0,0,0
19,2.56,3,14.58,36,Hombre,Soltero,Urbana,Norte de Santander,Bachillerato,Primaria,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",4,3,2023,1,0,0
16,3.36,2,41.23,34,Mujer,Union libre,Urbana,Tolima,Posgrado,Primaria,Publico,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",12,1,2023,0,0,0
17,2.72,4,6.94,27,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Universitario,Publico,Universitario,Presencial,Ciencias sociales y humanas,8,2,2024,0,0,0
22,4.11,1,9.5,91,Mujer,Soltero,Urbana,Magdalena,Universitario,Primaria,Publico,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",7,2,2023,1,0,0
19,3.02,1,15.15,77,Hombre,Otro,Urbana,Bolívar,Bachillerato,Bachillerato,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",9,1,2024,1,1,0
26,2.9,3,8.41,29,Hombre,Otro,Urbana,Antioquia,Tecnico,Bachillerato,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",1,2,2024,0,0,0
21,3.24,2,0.65,36,Hombre,Soltero,Urbana,Antioquia,Primaria,Tecnico,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",10,3,2024,0,0,0
20,3.45,0,3.65,38,Mujer,Soltero,Urbana,Valle del Cauca,Bachillerato,Primaria,Privado,Tecnico profesional,Presencial,Ciencias sociales y humanas,12,3,2021,0,0,0
22,4.09,0,3.4,90,Mujer,Soltero,Urbana,Cauca,Bachillerato,Universitario,Privado,Tecnologico,Distancia tradicional,Ciencias sociales y humanas,2,4,2024,1,1,0
18,4.64,0,9.6,89,Mujer,Soltero,Urbana,Quindío,Bachillerato,Primaria,Privado,Tecnico profesional,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",11,3,2024,0,0,0
20,3.81,0,5.47,64,Hombre,Soltero,Urbana,Boyacá,Ninguno,Tecnico,Privado,Tecnico profesional,Distancia tradicional,"Economia, administracion, contaduria y afines",11,2,2023,0,0,0
24,3.54,2,2.41,52,Hombre,Soltero,Urbana,Bolívar,Primaria,Bachillerato,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",11,3,2025,1,1,0
18,4.5,0,4.81,81,Mujer,Soltero,Rural,Antioquia,Bachillerato,Primaria,Publico,Universitario,Presencial,Matematicas y ciencias naturales,2,3,2025,0,0,0
25,3.21,1,8.19,60,Mujer,Soltero,Urbana,Nariño,Posgrado,Bachillerato,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",3,2,2023,0,1,0
15,4.35,0,2.95,77,Hombre,Soltero,Urbana,Bolívar,Primaria,Universitario,Privado,Universitario,Virtual,Ciencias de la educacion,9,3,2024,1,0,0
17,2.85,5,5.24,49,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Tecnico,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,2,2024,0,0,0
23,4.42,0,10.77,93,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Primaria,Privado,Tecnologico,Distancia tradicional,"Agronomia, veterinaria y afines",11,2,2021,1,0,1
16,3.79,1,10.47,85,Hombre,Soltero,Urbana,Bogotá D.C.,Tecnico,Bachillerato,Privado,Tecnologico,Presencial,Matematicas y ciencias naturales,4,3,2024,0,0,0
22,4.49,0,27.21,82,Hombre,Soltero,Urbana,Cesar,Ninguno,Ninguno,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",7,4,2021,0,0,1
20,2.59,2,3.07,36,Hombre,Otro,Urbana,Magdalena,Bachillerato,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",12,2,2024,1,0,0
20,4.01,0,2.88,91,Hombre,Soltero,Rural,Bogotá D.C.,Primaria,Bachillerato,Publico,Universitario,Presencial,Ciencias de la educacion,12,2,2025,0,0,0
25,3.26,3,11.1,60,Hombre,Soltero,Urbana,Atlántico,Primaria,Bachillerato,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",6,2,2024,0,0,0
15,2.56,3,5.78,23,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Tecnico,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",2,1,2022,0,1,0
19,3.36,1,5.62,79,Mujer,Soltero,Urbana,Antioquia,Primaria,Primaria,Privado,Tecnico profesional,Presencial,Ciencias sociales y humanas,10,3,2024,0,0,0
20,2.96,1,8.25,65,Hombre,Soltero,Urbana,Meta,Primaria,Tecnico,Publico,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",11,4,2023,1,0,0
23,3.22,0,6.19,66,Hombre,Casado,Urbana,Antioquia,Primaria,Universitario,Privado,Universitario,Presencial,Matematicas y ciencias naturales,9,3,2024,0,0,0
20,3.97,1,11.05,59,Hombre,Casado,Rural,Risaralda,Ninguno,Bachillerato,Publico,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",2,3,2025,1,0,0
15,3.74,1,21.56,72,Mujer,Soltero,Urbana,Antioquia,Primaria,Universitario,Privado,Universitario,Presencial,Ciencias sociales y humanas,7,5,2023,0,0,1
23,2.07,3,0.64,35,Mujer,Soltero,Urbana,Arauca,Tecnico,Primaria,Privado,Tecnologico,Presencial,Ciencias de la educacion,8,4,2025,0,0,0
20,3.93,2,9.72,68,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Primaria,Privado,Universitario,Virtual,"Ingenieria, arquitectura, urbanismo y afines",11,1,2023,0,0,0
19,3.29,2,2.56,58,Hombre,Soltero,Urbana,Cauca,Universitario,Primaria,Publico,Tecnico profesional,Presencial,"Ingenieria, arquitectura, urbanismo y afines",4,2,2024,0,0,1
20,3.02,0,9.1,64,Mujer,Soltero,Urbana,Atlántico,Primaria,Tecnico,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",10,1,2023,0,0,0
15,3.02,1,10.55,37,Mujer,Union libre,Urbana,Caldas,Primaria,Tecnico,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",8,3,2021,1,1,0
21,4.24,0,35.14,61,Hombre,Soltero,Urbana,Sucre,Primaria,Primaria,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",11,3,2024,1,1,1
25,3.81,0,24.89,41,Mujer,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Privado,Universitario,Presencial,"Agronomia, veterinaria y afines",5,4,2024,0,1,0
19,1.69,2,13.38,47,Hombre,Soltero,Urbana,Córdoba,Universitario,Bachillerato,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",12,2,2025,0,0,0
21,3.44,0,1.1,58,Mujer,Union libre,Rural,Huila,Bachillerato,Primaria,Privado,Universitario,Presencial,Bellas artes,7,4,2021,0,0,0
19,3.61,1,7.21,51,Mujer,Soltero,Urbana,Atlántico,Primaria,Bachillerato,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,5,6,2024,0,0,0
17,2.81,1,7.61,61,Hombre,Soltero,Urbana,Santander,Primaria,Primaria,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,2,2025,1,0,0
25,3.39,2,9.08,72,Hombre,Union libre,Rural,Bolívar,Bachillerato,Primaria,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",12,3,2024,0,1,0
23,3.12,1,6.07,44,Mujer,Casado,Urbana,Bogotá D.C.,Universitario,Bachillerato,Privado,Tecnico profesional,Presencial,Ciencias sociales y humanas,1,3,2025,1,0,0
19,3.75,0,6.9,69,Mujer,Soltero,Rural,Norte de Santander,Bachillerato,Universitario,Publico,Tecnologico,Distancia tradicional,Ciencias sociales y humanas,11,3,2022,1,0,1
22,3.85,1,4.48,71,Mujer,Casado,Urbana,Atlántico,Ninguno,Universitario,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",1,3,2022,0,0,0
18,3.15,2,5.84,49,Hombre,Soltero,Urbana,Bogotá D.C.,Ninguno,Bachillerato,Publico,Universitario,Presencial,Ciencias de la educacion,4,1,2025,1,0,0
22,4.67,0,6.65,58,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Universitario,Privado,Universitario,Presencial,Ciencias sociales y humanas,2,2,2024,1,0,0
18,2.99,1,10.84,50,Hombre,Soltero,Urbana,Valle del Cauca,Universitario,Ninguno,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",9,3,2025,1,1,0
17,3.53,0,0.22,52,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Universitario,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",10,3,2025,0,0,0
23,2.91,2,8.33,50,Hombre,Soltero,Urbana,Bogotá D.C.,Tecnico,Universitario,Privado,Universitario,Presencial,Ciencias de la educacion,5,1,2024,1,0,0
21,3.26,2,5.4,45,Mujer,Soltero,Urbana,Córdoba,Primaria,Bachillerato,Publico,Tecnologico,Presencial,Bellas artes,11,2,2024,0,0,1
21,3.31,1,3.54,62,Hombre,Soltero,Rural,Antioquia,Primaria,Tecnico,Privado,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",3,3,2024,1,0,0
21,3.21,1,14.3,64,Hombre,Soltero,Urbana,Antioquia,Primaria,Bachillerato,Publico,Tecnologico,Presencial,Ciencias de la salud,12,4,2025,1,0,0
15,3.34,3,4.67,77,Mujer,Soltero,Urbana,Santander,Bachillerato,Bachillerato,Publico,Tecnico profesional,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",8,4,2025,1,0,0
18,3.6,0,19.57,63,Mujer,Soltero,Urbana,Caquetá,Universitario,Universitario,Publico,Universitario,Virtual,"Ingenieria, arquitectura, urbanismo y afines",8,1,2021,1,0,0
20,3.19,0,7.47,75,Hombre,Soltero,Urbana,Antioquia,Tecnico,Universitario,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",3,3,2025,0,0,0
21,3.85,1,4.01,80,Mujer,Soltero,Rural,Casanare,Bachillerato,Bachillerato,Privado,Tecnico profesional,Distancia tradicional,Bellas artes,4,3,2023,0,0,0
17,4.14,0,5.35,67,Mujer,Soltero,Urbana,Cundinamarca,Bachillerato,Tecnico,Publico,Tecnologico,Presencial,Ciencias de la educacion,1,5,2023,1,0,1
15,2.22,3,8.6,31,Mujer,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,3,2022,0,0,1
15,4.24,0,19.06,81,Hombre,Soltero,Urbana,Valle del Cauca,Posgrado,Primaria,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",6,2,2022,0,0,0
21,2.92,3,0.65,42,Mujer,Soltero,Rural,Cauca,Primaria,Bachillerato,Publico,Universitario,Virtual,Ciencias de la educacion,4,1,2024,1,0,0
21,3.97,0,8.75,87,Hombre,Union libre,Urbana,Caldas,Ninguno,Universitario,Privado,Universitario,Presencial,Ciencias sociales y humanas,9,4,2021,1,1,0
20,4.69,0,3.71,94,Hombre,Soltero,Urbana,Cundinamarca,Ninguno,Primaria,Publico,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",11,3,2021,0,0,0
15,2.63,3,1.66,18,Mujer,Soltero,Urbana,Bogotá D.C.,Universitario,Tecnico,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",8,5,2023,0,0,0
16,3.7,2,5.35,49,Hombre,Soltero,Urbana,Boyacá,Bachillerato,Bachillerato,Publico,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",10,3,2025,0,0,0
19,3.15,2,7.57,53,Mujer,Soltero,Urbana,Córdoba,Primaria,Bachillerato,Privado,Universitario,Presencial,Bellas artes,12,3,2024,1,0,1
21,3.56,0,26.04,56,Mujer,Soltero,Urbana,Cauca,Tecnico,Primaria,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,7,5,2022,1,0,0
22,3.07,2,3.16,58,Mujer,Soltero,Urbana,Valle del Cauca,Bachillerato,Tecnico,Privado,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",8,2,2021,1,0,0
17,3.63,0,13.61,55,Hombre,Union libre,Urbana,Antioquia,Universitario,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",2,2,2022,1,0,1
24,3.67,0,8.78,67,Hombre,Union libre,Rural,Antioquia,Bachillerato,Universitario,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",11,2,2024,1,0,0
16,3.04,0,4.81,29,Mujer,Soltero,Urbana,Cesar,Bachillerato,Universitario,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",1,4,2023,1,0,0
20,3.0,2,13.3,44,Mujer,Union libre,Urbana,Atlántico,Bachillerato,Tecnico,Privado,Universitario,Presencial,Ciencias de la educacion,3,2,2023,1,1,0
19,3.1,2,17.04,62,Mujer,Casado,Urbana,Antioquia,Universitario,Bachillerato,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",5,2,2024,1,0,0
18,3.67,1,7.95,65,Hombre,Soltero,Urbana,Caquetá,Bachillerato,Posgrado,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",12,5,2021,0,0,1
21,2.66,2,17.18,19,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Publico,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",5,1,2025,1,1,0
19,3.51,1,1.93,48,Mujer,Soltero,Urbana,Caldas,Tecnico,Posgrado,Publico,Tecnologico,Presencial,Bellas artes,2,2,2025,0,0,0
21,3.52,1,30.68,78,Hombre,Soltero,Urbana,Boyacá,Bachillerato,Primaria,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",7,4,2022,0,0,1
21,4.2,1,8.95,76,Hombre,Soltero,Rural,Valle del Cauca,Ninguno,Bachillerato,Privado,Tecnologico,Presencial,Ciencias de la salud,7,2,2025,0,0,0
18,3.48,3,4.37,79,Mujer,Soltero,Urbana,Cundinamarca,Primaria,Primaria,Privado,Universitario,Presencial,Ciencias sociales y humanas,6,2,2022,1,0,0
16,4.49,0,3.71,78,Mujer,Soltero,Urbana,Antioquia,Bachillerato,Posgrado,Privado,Universitario,Distancia tradicional,Ciencias de la educacion,9,3,2023,0,1,0
17,3.29,2,4.7,49,Mujer,Soltero,Urbana,Cundinamarca,Bachillerato,Bachillerato,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",2,4,2022,1,0,0
22,3.16,5,6.9,39,Hombre,Soltero,Rural,Antioquia,Bachillerato,Bachillerato,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,9,3,2025,0,0,1
16,2.94,3,4.34,43,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Bachillerato,Privado,Universitario,Presencial,Ciencias sociales y humanas,1,3,2025,0,0,0
17,3.71,0,6.55,78,Hombre,Soltero,Urbana,Córdoba,Tecnico,Bachillerato,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",8,3,2024,1,0,0
25,3.1,1,11.54,52,Hombre,Soltero,Urbana,Bogotá D.C.,Posgrado,Ninguno,Privado,Tecnologico,Presencial,Ciencias sociales y humanas,3,3,2024,0,1,0
19,3.99,3,7.9,62,Mujer,Union libre,Urbana,Antioquia,Primaria,Bachillerato,Publico,Tecnologico,Virtual,"Ingenieria, arquitectura, urbanismo y afines",10,2,2023,0,0,1
15,3.07,1,7.85,48,Mujer,Soltero,Rural,Bogotá D.C.,Primaria,Universitario,Privado,Tecnico profesional,Distancia tradicional,Ciencias de la salud,12,2,2023,0,0,1
21,3.11,3,7.27,71,Hombre,Soltero,Urbana,Boyacá,Tecnico,Primaria,Privado,Universitario,Presencial,Ciencias de la salud,9,4,2022,0,0,0
16,4.04,1,3.53,79,Mujer,Soltero,Urbana,Santander,Bachillerato,Universitario,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",3,2,2023,0,0,0
21,3.88,0,6.46,65,Mujer,Soltero,Urbana,Bolívar,Posgrado,Primaria,Privado,Tecnologico,Virtual,"Economia, administracion, contaduria y afines",11,2,2023,0,0,1
20,3.73,3,3.38,76,Mujer,Soltero,Urbana,Nariño,Bachillerato,Bachillerato,Privado,Universitario,Virtual,Ciencias sociales y humanas,4,2,2024,1,1,0
15,2.91,0,2.36,38,Hombre,Soltero,Rural,Santander,Primaria,Bachillerato,Privado,Universitario,Presencial,Matematicas y ciencias naturales,7,3,2025,1,0,0
15,3.08,3,1.67,63,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Tecnico,Publico,Universitario,Distancia tradicional,Ciencias sociales y humanas,2,4,2021,1,0,0
19,3.36,2,2.05,42,Mujer,Soltero,Rural,Santander,Tecnico,Ninguno,Publico,Tecnico profesional,Virtual,Ciencias sociales y humanas,4,1,2023,0,1,0
18,2.68,3,15.72,72,Mujer,Soltero,Rural,Huila,Posgrado,Primaria,Privado,Universitario,Virtual,Matematicas y ciencias naturales,10,1,2022,0,0,0
20,3.61,0,13.76,48,Mujer,Soltero,Urbana,Magdalena,Tecnico,Bachillerato,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",4,4,2022,1,0,0
18,3.26,2,8.58,59,Mujer,Soltero,Urbana,Cundinamarca,Bachillerato,Ninguno,Privado,Universitario,Virtual,Bellas artes,5,3,2025,0,0,1
17,4.19,1,4.41,76,Mujer,Soltero,Urbana,La Guajira,Bachillerato,Primaria,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",3,4,2025,1,0,0
16,2.1,1,5.91,39,Hombre,Soltero,Urbana,Antioquia,Primaria,Primaria,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",9,4,2025,1,0,0
21,3.15,1,8.27,54,Hombre,Soltero,Urbana,Nariño,Universitario,Bachillerato,Privado,Tecnologico,Presencial,Ciencias de la educacion,2,3,2022,0,1,0
21,3.23,1,3.5,54,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Universitario,Privado,Tecnico profesional,Presencial,"Economia, administracion, contaduria y afines",12,5,2024,1,0,1
21,2.98,0,6.21,57,Mujer,Casado,Rural,Sucre,Primaria,Bachillerato,Privado,Tecnologico,Presencial,Ciencias de la educacion,9,3,2025,0,0,0
22,3.25,3,3.99,62,Hombre,Union libre,Urbana,Nariño,Primaria,Bachillerato,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",2,4,2023,1,0,0
19,3.97,3,4.6,73,Hombre,Soltero,Urbana,Bogotá D.C.,Universitario,Universitario,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",10,3,2023,1,1,0
20,3.67,0,8.98,54,Mujer,Soltero,Urbana,Caquetá,Primaria,Tecnico,Privado,Tecnologico,Presencial,"Ingenieria, arquitectura, urbanismo y afines",9,3,2023,1,1,0
17,3.13,1,3.36,40,Hombre,Soltero,Urbana,Bolívar,Universitario,Bachillerato,Privado,Tecnico profesional,Presencial,Matematicas y ciencias naturales,5,5,2023,0,1,1
15,3.23,1,2.37,45,Hombre,Soltero,Urbana,Antioquia,Bachillerato,Primaria,Publico,Universitario,Presencial,Ciencias de la educacion,12,3,2024,0,1,0
19,4.76,0,8.34,94,Hombre,Soltero,Urbana,Bogotá D.C.,Ninguno,Primaria,Privado,Universitario,Virtual,"Economia, administracion, contaduria y afines",4,6,2025,0,0,0
15,3.07,2,11.76,58,Hombre,Soltero,Urbana,Huila,Primaria,Tecnico,Publico,Tecnico profesional,Presencial,"Economia, administracion, contaduria y afines",9,4,2024,0,0,0
17,3.89,2,5.97,69,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Bachillerato,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",7,1,2023,1,1,0
21,2.91,4,8.78,63,Mujer,Soltero,Urbana,Chocó,Bachillerato,Bachillerato,Privado,Universitario,Presencial,Matematicas y ciencias naturales,8,4,2022,0,1,0
24,3.4,1,0.74,71,Mujer,Union libre,Urbana,Santander,Bachillerato,Tecnico,Publico,Universitario,Presencial,Ciencias sociales y humanas,11,1,2022,0,0,0
17,3.41,4,1.02,71,Hombre,Soltero,Urbana,Bogotá D.C.,Primaria,Primaria,Publico,Universitario,Presencial,Bellas artes,2,2,2023,1,1,0
23,2.84,2,3.06,42,Mujer,Soltero,Urbana,Atlántico,Bachillerato,Primaria,Privado,Universitario,Presencial,"Economia, administracion, contaduria y afines",11,2,2022,0,0,0
15,2.14,2,6.54,35,Mujer,Soltero,Urbana,Cundinamarca,Bachillerato,Primaria,Publico,Universitario,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",3,3,2025,0,0,0
22,3.85,0,18.22,44,Mujer,Soltero,Urbana,Valle del Cauca,Bachillerato,Bachillerato,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",12,2,2023,1,0,0
16,3.69,0,4.61,70,Hombre,Soltero,Urbana,Caldas,Universitario,Tecnico,Publico,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",4,4,2021,0,0,0
16,2.66,1,19.18,56,Hombre,Soltero,Urbana,Norte de Santander,Universitario,Bachillerato,Privado,Tecnologico,Presencial,"Economia, administracion, contaduria y afines",1,4,2024,0,1,0
15,4.02,1,30.5,57,Hombre,Casado,Urbana,Bogotá D.C.,Tecnico,Bachillerato,Publico,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",2,2,2025,1,1,0
24,3.24,2,10.71,50,Mujer,Soltero,Urbana,Santander,Tecnico,Universitario,Publico,Tecnico profesional,Distancia tradicional,Ciencias de la salud,7,2,2023,1,0,0
20,3.3,2,13.65,50,Hombre,Union libre,Urbana,Norte de Santander,Ninguno,Universitario,Publico,Tecnologico,Presencial,Ciencias de la salud,7,2,2024,0,0,0
15,3.9,1,22.54,75,Mujer,Soltero,Rural,Huila,Tecnico,Tecnico,Privado,Universitario,Presencial,Ciencias de la educacion,7,2,2025,0,0,1
23,2.78,1,25.71,46,Mujer,Soltero,Urbana,Antioquia,Tecnico,Primaria,Privado,Tecnico profesional,Distancia tradicional,Ciencias de la salud,2,2,2024,1,0,0
22,4.28,0,14.33,74,Hombre,Soltero,Rural,Santander,Universitario,Primaria,Publico,Universitario,Presencial,Ciencias sociales y humanas,10,5,2025,0,0,0
19,2.79,2,14.64,42,Hombre,Soltero,Urbana,Cundinamarca,Universitario,Ninguno,Publico,Tecnico profesional,Presencial,"Economia, administracion, contaduria y afines",8,2,2024,1,0,0
18,3.69,0,14.81,59,Mujer,Soltero,Urbana,Antioquia,Primaria,Bachillerato,Publico,Tecnologico,Distancia tradicional,Ciencias de la salud,11,5,2024,0,1,0
19,3.6,2,1.67,64,Mujer,Soltero,Urbana,Tolima,Primaria,Primaria,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",6,2,2025,1,0,0
23,2.73,1,30.56,21,Mujer,Soltero,Urbana,Santander,Primaria,Bachillerato,Publico,Universitario,Virtual,"Economia, administracion, contaduria y afines",3,2,2021,0,0,0
17,3.1,1,3.74,55,Mujer,Soltero,Urbana,Bogotá D.C.,Universitario,Tecnico,Publico,Tecnologico,Virtual,Ciencias de la educacion,10,1,2024,1,0,0
19,2.42,0,6.24,57,Mujer,Casado,Urbana,Cesar,Primaria,Bachillerato,Privado,Universitario,Distancia tradicional,"Economia, administracion, contaduria y afines",11,2,2021,0,0,1
18,3.07,1,4.42,50,Hombre,Soltero,Urbana,Antioquia,Bachillerato,Primaria,Privado,Tecnico profesional,Presencial,Bellas artes,3,2,2024,0,0,0
24,3.64,0,40.05,68,Hombre,Soltero,Urbana,Bogotá D.C.,Universitario,Universitario,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",2,2,2022,0,0,0
23,4.78,0,1.55,90,Mujer,Soltero,Urbana,Cauca,Bachillerato,Primaria,Publico,Universitario,Presencial,Matematicas y ciencias naturales,7,5,2024,1,1,0
18,4.18,0,3.8,72,Mujer,Soltero,Urbana,Bogotá D.C.,Bachillerato,Ninguno,Privado,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",4,1,2021,0,0,0
15,3.05,2,12.3,25,Mujer,Soltero,Urbana,Nariño,Ninguno,Universitario,Publico,Universitario,Presencial,"Economia, administracion, contaduria y afines",12,3,2021,1,0,0
19,4.25,0,7.04,94,Mujer,Soltero,Urbana,Atlántico,Bachillerato,Primaria,Publico,Tecnologico,Presencial,Ciencias de la educacion,11,2,2024,0,0,0
22,3.08,3,15.61,47,Mujer,Soltero,Rural,Cundinamarca,Primaria,Bachillerato,Publico,Universitario,Presencial,Ciencias de la educacion,5,2,2023,1,0,0
17,3.11,1,37.08,36,Mujer,Soltero,Urbana,Boyacá,Universitario,Primaria,Privado,Tecnico profesional,Presencial,Ciencias de la salud,9,2,2024,1,0,1
21,2.98,0,1.4,60,Mujer,Soltero,Urbana,Córdoba,Bachillerato,Ninguno,Privado,Universitario,Presencial,Matematicas y ciencias naturales,5,6,2022,1,0,1
16,2.89,2,47.64,53,Mujer,Union libre,Urbana,Huila,Tecnico,Bachillerato,Publico,Universitario,Distancia tradicional,Ciencias de la salud,11,3,2023,1,1,0
16,3.8,1,8.37,69,Mujer,Soltero,Urbana,Bolívar,Tecnico,Posgrado,Publico,Tecnico profesional,Presencial,Ciencias de la educacion,9,3,2022,1,1,0
16,4.01,0,6.35,59,Hombre,Soltero,Urbana,Norte de Santander,Tecnico,Bachillerato,Privado,Tecnologico,Presencial,Ciencias de la educacion,8,2,2025,0,0,0
23,2.92,2,10.26,50,Mujer,Union libre,Urbana,Atlántico,Bachillerato,Bachillerato,Publico,Universitario,Presencial,"Ingenieria, arquitectura, urbanismo y afines",2,2,2021,0,0,1
17,3.18,0,2.9,54,Hombre,Soltero,Urbana,Norte de Santander,Bachillerato,Primaria,Publico,Universitario,Presencial,Matematicas y ciencias naturales,12,5,2025,1,1,1
17,1.94,2,11.33,33,Hombre,Soltero,Rural,Meta,Primaria,Tecnico,Publico,Universitario,Presencial,Ciencias sociales y humanas,5,2,2022,0,1,0
20,4.24,0,5.0,56,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Tecnico,Publico,Tecnologico,Distancia tradicional,"Economia, administracion, contaduria y afines",12,2,2025,0,0,1
17,3.12,3,1.16,73,Mujer,Casado,Urbana,Cesar,Tecnico,Ninguno,Privado,Universitario,Presencial,Ciencias sociales y humanas,10,5,2024,0,0,0
16,2.98,2,5.44,47,Hombre,Soltero,Urbana,Bogotá D.C.,Bachillerato,Universitario,Privado,Tecnologico,Distancia tradicional,"Ingenieria, arquitectura, urbanismo y afines",10,2,2023,1,0,0
17,2.04,2,18.33,30,Mujer,Soltero,Urbana,Cundinamarca,Posgrado,Primaria,Publico,Tecnologico,Presencial,Ciencias sociales y humanas,7,2,2021,1,0,1
23,1.75,2,6.34,22,Hombre,Soltero,Rural,Risaralda,Ninguno,Bachillerato,Publico,Tecnico profesional,Presencial,Ciencias de la salud,10,1,2022,0,1,1
19,3.91,0,1.55,76,Hombre,Soltero,Urbana,Bogotá D.C.,Posgrado,Bachillerato,Privado,Universitario,Presencial,Bellas artes,2,2,2024,0,1,0
